                                                             ,                                             ,                                                , W10 v1909 #1, W10 v1909 #2, W10 v2004 #1, W10 v2004 #2, W10 v2004 w/ WSL2 #1, W10 v2004 w/ WSL2 #2, Variance, Analysis
PugetBench for Premiere Pro 0.9 (Premiere Pro 14.2.0)        , 4K H.264 150Mbps 8bit (59.94FPS)            , Lumetri Color - Export (H.264 40Mbps UHD)      , 114.23      , 114.77      , 114.39      , 115.17      , 114.29              , 114.55              ,         , 
PugetBench for Premiere Pro 0.9 (Premiere Pro 14.2.0)        , 4K H.264 150Mbps 8bit (59.94FPS)            , Lumetri Color - Export (ProRes 422HQ UHD)      , 65.88       , 66.17       , 65.75       , 66.09       , 65.36               , 65.61               ,         , 
PugetBench for Premiere Pro 0.9 (Premiere Pro 14.2.0)        , 4K H.264 150Mbps 8bit (59.94FPS)            , Live Playback Score                            , 74          , 74.3        , 74.5        , 74.9        , 74.5                , 73.9                ,         , 
PugetBench for Premiere Pro 0.9 (Premiere Pro 14.2.0)        , 4K H.264 150Mbps 8bit (59.94FPS)            , Export Score                                   , 150.2       , 150.9       , 150.3       , 151.2       , 149.9               , 150.3               ,         , 
PugetBench for Premiere Pro 0.9 (Premiere Pro 14.2.0)        , 4K ProRes 422 (59.94FPS)                    , Lumetri Color - Live Playback (Half Res)       , 59.51       , 59.51       , 59.94       , 59.74       , 59.94               , 59.94               ,         , 
PugetBench for Premiere Pro 0.9 (Premiere Pro 14.2.0)        , 4K ProRes 422 (59.94FPS)                    , Lumetri Color - Live Playback (Full Res)       , 59.94       , 59.94       , 59.94       , 59.94       , 59.94               , 59.94               ,         , 
PugetBench for Premiere Pro 0.9 (Premiere Pro 14.2.0)        , 4K ProRes 422 (59.94FPS)                    , MultiCam - Live Playback (Half Res)            , 59.84       , 59.94       , 59.94       , 59.94       , 59.91               , 59.94               ,         , 
PugetBench for Premiere Pro 0.9 (Premiere Pro 14.2.0)        , 4K ProRes 422 (59.94FPS)                    , MultiCam - Live Playback (Full Res)            , 56.18       , 56.14       , 55.64       , 57.17       , 57.07               , 56.94               ,         , 
PugetBench for Premiere Pro 0.9 (Premiere Pro 14.2.0)        , 4K ProRes 422 (59.94FPS)                    , Lumetri Color - Export (H.264 40Mbps UHD)      , 121.66      , 123.57      , 119.86      , 126         , 110.44              , 110.97              ,         , 
PugetBench for Premiere Pro 0.9 (Premiere Pro 14.2.0)        , 4K ProRes 422 (59.94FPS)                    , Lumetri Color - Export (ProRes 422HQ UHD)      , 62.91       , 62.73       , 61.8        , 62.11       , 62.25               , 61.96               ,         , 
PugetBench for Premiere Pro 0.9 (Premiere Pro 14.2.0)        , 4K ProRes 422 (59.94FPS)                    , Live Playback Score                            , 98.2        , 98.2        , 98.2        , 98.8        , 98.8                , 98.7                ,         , 
PugetBench for Premiere Pro 0.9 (Premiere Pro 14.2.0)        , 4K ProRes 422 (59.94FPS)                    , Export Score                                   , 154         , 155.4       , 151.5       , 156.9       , 144.1               , 144.3               ,         , 
PugetBench for Premiere Pro 0.9 (Premiere Pro 14.2.0)        , 4K RED (59.94FPS)                           , Lumetri Color - Live Playback (Half Res)       , 59.94       , 59.94       , 59.94       , 59.94       , 59.94               , 59.94               ,         , 
PugetBench for Premiere Pro 0.9 (Premiere Pro 14.2.0)        , 4K RED (59.94FPS)                           , Lumetri Color - Live Playback (Full Res)       , 59.94       , 59.94       , 59.87       , 59.84       , 59.94               , 59.94               ,         , 
PugetBench for Premiere Pro 0.9 (Premiere Pro 14.2.0)        , 4K RED (59.94FPS)                           , MultiCam - Live Playback (Half Res)            , 28.56       , 27.92       , 30.37       , 29.7        , 30.2                , 30.15               ,         , 
PugetBench for Premiere Pro 0.9 (Premiere Pro 14.2.0)        , 4K RED (59.94FPS)                           , MultiCam - Live Playback (Full Res)            , 7.46        , 7.67        , 9.4         , 9.32        , 9.36                , 9.03                ,         , 
PugetBench for Premiere Pro 0.9 (Premiere Pro 14.2.0)        , 4K RED (59.94FPS)                           , Lumetri Color - Export (H.264 40Mbps UHD)      , 69.21       , 69.65       , 67.45       , 70.68       , 70.84               , 70.61               ,         , 
PugetBench for Premiere Pro 0.9 (Premiere Pro 14.2.0)        , 4K RED (59.94FPS)                           , Lumetri Color - Export (ProRes 422HQ UHD)      , 46.49       , 46.22       , 46.37       , 46.69       , 46.44               , 46.4                ,         , 
